CONCEPTICON_ID	CONCEPTICON_GLOSS	SPANISH	R1	R123
965	WORLD	mundo	"{""1228"": 12, ""3083"": 2, ""1202"": 2, ""1243"": 1, ""500"": 1, ""1427"": 1, ""622"": 1, ""1899"": 1, ""2625"": 1, ""760"": 1, ""1300"": 1, ""1395"": 1, ""3958"": 1, ""98"": 1, ""210"": 1}"	"{""1228"": 19, ""98"": 7, ""210"": 6, ""1395"": 4, ""948"": 3, ""789"": 3, ""3083"": 3, ""1202"": 3, ""2625"": 2, ""1474"": 2, ""3958"": 2, ""1243"": 1, ""1246"": 1, ""1467"": 1, ""952"": 1, ""166"": 1, ""500"": 1, ""1845"": 1, ""1427"": 1, ""622"": 1, ""1899"": 1, ""1666"": 1, ""2023"": 1, ""1240"": 1, ""760"": 1, ""1300"": 1, ""1493"": 1, ""1425"": 1, ""3665"": 1}"
3659	POLISH (SOMETHING)	lustrar	"{""2235"": 10, ""3659"": 6, ""708"": 4, ""3709"": 2, ""2001"": 2, ""704"": 2, ""1231"": 1, ""1381"": 1}"	"{""2235"": 14, ""3659"": 10, ""708"": 4, ""1821"": 4, ""1381"": 4, ""3709"": 3, ""2001"": 3, ""704"": 3, ""1803"": 3, ""1931"": 2, ""811"": 1, ""1732"": 1, ""253"": 1, ""1449"": 1, ""813"": 1, ""630"": 1, ""163"": 1, ""1231"": 1, ""3122"": 1, ""1343"": 1, ""1230"": 1}"
1095	LET GO OR SET FREE	soltar	"{""2896"": 16, ""1277"": 3, ""1441"": 3, ""1218"": 2, ""2003"": 2, ""1455"": 1, ""1456"": 1, ""937"": 1, ""352"": 1, ""3083"": 1, ""857"": 1, ""1236"": 1, ""1749"": 1}"	"{""2896"": 24, ""1277"": 5, ""1218"": 4, ""1441"": 4, ""2003"": 3, ""1156"": 2, ""1456"": 2, ""1280"": 2, ""352"": 2, ""695"": 2, ""1999"": 2, ""855"": 1, ""1455"": 1, ""937"": 1, ""479"": 1, ""2866"": 1, ""3083"": 1, ""715"": 1, ""1357"": 1, ""624"": 1, ""1406"": 1, ""1205"": 1, ""1523"": 1, ""1853"": 1, ""1845"": 1, ""1246"": 1, ""857"": 1, ""1236"": 1, ""1107"": 1, ""1085"": 1, ""1749"": 1}"
364	SMEAR	untar	"{""1282"": 19, ""38"": 7, ""1743"": 4, ""1368"": 4, ""1569"": 4, ""717"": 2, ""998"": 2, ""274"": 1, ""761"": 1, ""1352"": 1, ""1322"": 1, ""681"": 1, ""1245"": 1, ""680"": 1, ""1487"": 1}"	"{""1282"": 27, ""38"": 10, ""1368"": 10, ""1569"": 10, ""1352"": 5, ""998"": 5, ""1743"": 4, ""1322"": 2, ""717"": 2, ""1245"": 2, ""3122"": 2, ""274"": 1, ""2882"": 1, ""761"": 1, ""1019"": 1, ""681"": 1, ""813"": 1, ""1594"": 1, ""586"": 1, ""2006"": 1, ""273"": 1, ""1069"": 1, ""712"": 1, ""680"": 1, ""1487"": 1}"
1068	COURT	tribunal	"{""861"": 13, ""1067"": 7, ""1062"": 3, ""1335"": 1, ""789"": 1, ""1818"": 1, ""1160"": 1, ""1775"": 1, ""781"": 1, ""1564"": 1}"	"{""861"": 17, ""1067"": 11, ""1062"": 5, ""1019"": 2, ""1818"": 2, ""1803"": 2, ""3644"": 1, ""1034"": 1, ""1335"": 1, ""789"": 1, ""90"": 1, ""1160"": 1, ""1481"": 1, ""1775"": 1, ""781"": 1, ""1564"": 1, ""972"": 1, ""1144"": 1, ""984"": 1}"
991	FRY	freír	"{""1100"": 17, ""1484"": 8, ""1336"": 2, ""256"": 2, ""31"": 2, ""2366"": 1, ""2493"": 1, ""744"": 1, ""2124"": 1, ""1829"": 1}"	"{""1100"": 23, ""1484"": 20, ""256"": 8, ""31"": 8, ""2124"": 4, ""1286"": 3, ""1336"": 3, ""744"": 3, ""2493"": 2, ""227"": 2, ""27"": 1, ""2366"": 1, ""269"": 1, ""323"": 1, ""1143"": 1, ""1292"": 1, ""1417"": 1, ""141"": 1, ""1631"": 1, ""1407"": 1, ""712"": 1, ""1829"": 1}"
1282	FAT (FROM ANIMALS)	manteca	"{""1368"": 17, ""256"": 3, ""323"": 3, ""635"": 3, ""1007"": 3, ""1856"": 1, ""1322"": 2, ""1569"": 2, ""769"": 2, ""364"": 2, ""1424"": 1, ""1224"": 1, ""1245"": 1, ""1324"": 1}"	"{""1368"": 25, ""323"": 10, ""635"": 10, ""1007"": 10, ""1322"": 5, ""256"": 4, ""1569"": 4, ""364"": 4, ""712"": 3, ""1856"": 2, ""862"": 2, ""1100"": 2, ""1336"": 2, ""769"": 2, ""1484"": 1, ""1424"": 1, ""1325"": 1, ""1335"": 1, ""1613"": 1, ""1352"": 1, ""1864"": 1, ""1224"": 1, ""1245"": 1, ""2124"": 1, ""1324"": 1, ""1274"": 1, ""1091"": 1, ""1342"": 1}"
1663	BED	cama	"{""1585"": 26, ""2374"": 6, ""105"": 2, ""168"": 2, ""1044"": 1, ""1663"": 1, ""2505"": 1, ""1285"": 1, ""1775"": 1}"	"{""1585"": 33, ""2374"": 15, ""168"": 6, ""1044"": 5, ""105"": 5, ""1338"": 2, ""603"": 1, ""1335"": 1, ""1856"": 1, ""1663"": 1, ""834"": 1, ""1460"": 1, ""1929"": 1, ""1202"": 1, ""2505"": 1, ""1285"": 1, ""963"": 1, ""806"": 1, ""1775"": 1, ""2271"": 1, ""594"": 1, ""1476"": 1, ""1343"": 1, ""1788"": 1, ""1075"": 1}"
964	WOOL	ovillo	"{""964"": 48, ""1161"": 3, ""1496"": 2, ""1208"": 2, ""133"": 2, ""619"": 1, ""1845"": 1, ""1007"": 1}"	"{""964"": 56, ""1331"": 13, ""1161"": 11, ""133"": 6, ""1208"": 1, ""1395"": 3, ""1856"": 3, ""1496"": 2, ""1382"": 2, ""619"": 2, ""1613"": 2, ""1845"": 1, ""1895"": 2, ""603"": 1, ""1850"": 1, ""1286"": 1, ""212"": 1, ""1287"": 1, ""201"": 1, ""2403"": 1, ""1216"": 1, ""2819"": 1, ""1007"": 1}"
838	REMAINS	sobras	"{""256"": 17, ""909"": 3, ""1318"": 2, ""1673"": 1, ""3729"": 1, ""1992"": 1, ""1198"": 1, ""2009"": 1, ""480"": 1, ""3088"": 1, ""1388"": 1, ""1455"": 1}"	"{""256"": 25, ""909"": 9, ""2009"": 4, ""1198"": 2, ""1318"": 2, ""1673"": 1, ""1477"": 1, ""3729"": 1, ""1992"": 1, ""480"": 1, ""712"": 1, ""2996"": 1, ""3088"": 1, ""1388"": 1, ""25"": 1, ""1455"": 1}"
1624	EMPTY	vacío	"{""1429"": 6, ""634"": 5, ""1783"": 2, ""2297"": 2, ""706"": 2, ""27"": 1, ""1804"": 1, ""1202"": 1, ""163"": 1, ""1674"": 1, ""954"": 1, ""699"": 1, ""604"": 1}"	"{""634"": 13, ""1429"": 7, ""163"": 6, ""1783"": 4, ""1335"": 2, ""1223"": 2, ""2297"": 2, ""706"": 2, ""954"": 2, ""699"": 2, ""604"": 2, ""948"": 1, ""1667"": 1, ""27"": 1, ""811"": 1, ""1804"": 1, ""1280"": 1, ""1188"": 1, ""256"": 1, ""3687"": 1, ""743"": 1, ""221"": 1, ""1202"": 1, ""1143"": 1, ""781"": 1, ""643"": 1, ""1674"": 1, ""712"": 1, ""3102"": 1}"
1859	THIRD	tercero	"{""492"": 13, ""728"": 7, ""197"": 5, ""666"": 2, ""1384"": 2, ""1529"": 2, ""1498"": 1, ""244"": 1, ""2023"": 1}"	"{""492"": 14, ""728"": 7, ""1384"": 7, ""197"": 5, ""1356"": 4, ""666"": 3, ""742"": 2, ""1620"": 2, ""1529"": 2, ""1294"": 1, ""1420"": 1, ""1685"": 1, ""1498"": 1, ""1590"": 1, ""1495"": 1, ""1149"": 1, ""244"": 1, ""1406"": 1, ""1474"": 1, ""3208"": 1, ""2023"": 1, ""3469"": 1, ""1327"": 1}"
742	END (OF SPACE)	final	"{""743"": 6, ""1766"": 6, ""1495"": 3, ""892"": 3, ""1529"": 3, ""131"": 2, ""782"": 1, ""963"": 1, ""1387"": 1, ""910"": 1, ""216"": 1, ""98"": 1}"	"{""743"": 13, ""1766"": 10, ""910"": 7, ""1529"": 7, ""216"": 4, ""892"": 4, ""1495"": 3, ""131"": 3, ""2252"": 2, ""963"": 2, ""1010"": 2, ""782"": 1, ""733"": 1, ""1387"": 1, ""965"": 1, ""163"": 1, ""2297"": 1, ""1599"": 1, ""1338"": 1, ""1085"": 1, ""98"": 1, ""900"": 1, ""699"": 1, ""210"": 1}"
1010	BOUNDARY	límite	"{""1048"": 7, ""2546"": 5, ""742"": 4, ""743"": 3, ""3351"": 3, ""781"": 2, ""711"": 1, ""504"": 1, ""1732"": 1, ""1030"": 1, ""1300"": 1, ""933"": 1, ""998"": 1, ""1895"": 1}"	"{""2546"": 13, ""1048"": 11, ""742"": 8, ""743"": 6, ""1300"": 5, ""3351"": 3, ""781"": 2, ""933"": 2, ""711"": 1, ""504"": 1, ""1597"": 1, ""1942"": 1, ""1732"": 1, ""2978"": 1, ""1789"": 1, ""1062"": 1, ""1030"": 1, ""784"": 1, ""998"": 1, ""83"": 1, ""1567"": 1, ""666"": 1, ""1895"": 1, ""3654"": 1, ""1529"": 1, ""1624"": 1, ""1690"": 1, ""1332"": 1}"
3628	HONOR (SOMEBODY)	honor	"{""1599"": 3, ""2623"": 1, ""369"": 1, ""1535"": 1, ""194"": 1, ""1202"": 1, ""1285"": 1, ""1941"": 1, ""89"": 1, ""216"": 1}"	"{""1599"": 6, ""369"": 3, ""1535"": 2, ""2106"": 2, ""89"": 2, ""1229"": 1, ""2623"": 1, ""1035"": 1, ""615"": 1, ""1443"": 1, ""1330"": 1, ""194"": 1, ""1495"": 1, ""123"": 1, ""202"": 1, ""1202"": 1, ""2060"": 1, ""1554"": 1, ""1120"": 1, ""1143"": 1, ""1285"": 1, ""2467"": 1, ""1472"": 1, ""1941"": 1, ""216"": 1, ""984"": 1, ""1638"": 1, ""1776"": 1}"
2648	HAIR (HEAD)	cabello	"{""1040"": 33, ""1203"": 8, ""1256"": 5, ""615"": 1, ""1645"": 1, ""1161"": 1, ""624"": 1, ""163"": 1, ""1475"": 1, ""1392"": 1, ""759"": 1, ""156"": 1}"	"{""1040"": 39, ""1203"": 21, ""1256"": 13, ""163"": 4, ""615"": 3, ""1475"": 3, ""1856"": 3, ""1645"": 2, ""771"": 2, ""2617"": 1, ""1125"": 1, ""1613"": 1, ""1480"": 1, ""1244"": 1, ""1161"": 1, ""624"": 1, ""1234"": 1, ""1726"": 1, ""367"": 1, ""962"": 1, ""2070"": 1, ""763"": 1, ""1392"": 1, ""759"": 1, ""670"": 1, ""156"": 1}"
304	PREACH	predicar	"{""24"": 1, ""661"": 6, ""1623"": 5, ""979"": 5, ""601"": 4, ""852"": 2, ""1420"": 2, ""1458"": 2, ""911"": 2, ""1599"": 2, ""709"": 1, ""813"": 1, ""1198"": 1, ""880"": 1}"	"{""24"": 3, ""661"": 10, ""1623"": 8, ""911"": 7, ""979"": 6, ""1458"": 5, ""852"": 3, ""601"": 4, ""1420"": 3, ""709"": 3, ""1599"": 3, ""813"": 2, ""880"": 2, ""853"": 1, ""1890"": 1, ""3230"": 1, ""1626"": 1, ""43"": 1, ""1198"": 1, ""739"": 1}"
79	WASTE	malgastar	"{""1559"": 9, ""1455"": 4, ""759"": 3, ""1869"": 1, ""1447"": 1, ""1914"": 1, ""892"": 1}"	"{""1559"": 16, ""892"": 7, ""1455"": 7, ""759"": 6, ""210"": 4, ""1869"": 2, ""1914"": 2, ""161"": 2, ""1447"": 1, ""733"": 1, ""3847"": 1, ""79"": 1, ""1867"": 1, ""141"": 1, ""680"": 1, ""2619"": 1}"
759	SILVER	plata	"{""1559"": 20, ""1369"": 14, ""2244"": 7, ""1867"": 4, ""972"": 2, ""666"": 2, ""1374"": 1, ""1336"": 1, ""1474"": 1, ""643"": 1, ""653"": 1}"	"{""1559"": 40, ""2244"": 24, ""1369"": 23, ""1867"": 5, ""666"": 5, ""972"": 4, ""984"": 4, ""1374"": 3, ""1029"": 2, ""1474"": 2, ""643"": 2, ""3709"": 1, ""1961"": 1, ""1613"": 1, ""1336"": 1, ""1869"": 1, ""584"": 1, ""1171"": 1, ""1287"": 1, ""1313"": 1, ""1030"": 1, ""653"": 1, ""1754"": 1, ""1571"": 1, ""1425"": 1}"
66	KNEEL	arrodillarse	"{""296"": 3, ""24"": 2, ""1783"": 2, ""911"": 2, ""1696"": 2, ""3534"": 2, ""1326"": 1, ""1280"": 1, ""2894"": 1, ""506"": 1, ""570"": 1, ""1222"": 1, ""1528"": 1, ""1371"": 1, ""1228"": 1}"	"{""24"": 2, ""296"": 6, ""3534"": 6, ""1696"": 5, ""1783"": 4, ""911"": 4, ""2894"": 3, ""1828"": 3, ""390"": 2, ""661"": 2, ""1649"": 2, ""1326"": 1, ""1280"": 1, ""506"": 1, ""1103"": 1, ""570"": 1, ""1222"": 1, ""1528"": 1, ""1371"": 1, ""1228"": 1}"
82	ANGER	enfado	"{""82"": 46, ""1826"": 3, ""2206"": 2, ""13"": 1, ""1240"": 1}"	"{""82"": 1, ""2206"": 4, ""1826"": 3, ""1292"": 3, ""156"": 2, ""1757"": 1, ""1560"": 1, ""1783"": 1, ""2573"": 1, ""13"": 1, ""1240"": 1, ""593"": 1, ""683"": 1, ""946"": 1}"
