CONCEPTICON_ID	CONCEPTICON_GLOSS	DUTCH	R1	R123
2958	LAUGHTER	gelach	"{""1884"": 1, ""674"": 1, ""1355"": 5, ""718"": 1, ""1451"": 1, ""1427"": 1}"	"{""1884"": 1, ""789"": 2, ""718"": 2, ""1232"": 1, ""674"": 6, ""377"": 1, ""1355"": 8, ""1343"": 1, ""1342"": 1, ""715"": 2, ""1030"": 1, ""1495"": 1, ""1451"": 1, ""1427"": 1}"
1641	SILK	zijde	"{""474"": 1, ""1856"": 27, ""850"": 2}"	"{""1856"": 40, ""474"": 2, ""1426"": 5, ""1895"": 2, ""850"": 6, ""963"": 2, ""1019"": 3, ""244"": 3, ""1044"": 1, ""1335"": 2, ""628"": 2, ""1750"": 1, ""809"": 1, ""156"": 1, ""3702"": 1, ""1663"": 1, ""1427"": 3, ""2452"": 1, ""1613"": 1, ""2483"": 1, ""2997"": 1}"
1938	FORTRESS	kasteel	"{""1229"": 1, ""1265"": 1, ""712"": 4, ""1202"": 4, ""948"": 1, ""1489"": 1, ""153"": 1, ""671"": 1, ""1427"": 2}"	"{""1229"": 4, ""1202"": 11, ""1265"": 1, ""712"": 6, ""1524"": 1, ""2001"": 1, ""615"": 2, ""857"": 1, ""1287"": 2, ""948"": 1, ""216"": 2, ""1489"": 1, ""1011"": 1, ""1616"": 1, ""153"": 1, ""2623"": 1, ""962"": 1, ""1639"": 1, ""671"": 1, ""1427"": 3, ""1426"": 1}"
48	BE SILENT	stil	"{""1471"": 1, ""1624"": 1, ""948"": 2, ""1416"": 1, ""377"": 9, ""258"": 4, ""487"": 1, ""1233"": 2, ""905"": 1, ""1629"": 1, ""1856"": 1, ""2099"": 1, ""26"": 1, ""2470"": 1, ""624"": 1, ""1491"": 1}"	"{""1471"": 1, ""1625"": 2, ""687"": 1, ""487"": 2, ""1624"": 1, ""948"": 3, ""1416"": 2, ""1629"": 3, ""377"": 12, ""1518"": 2, ""1585"": 4, ""258"": 15, ""1415"": 3, ""1819"": 1, ""1233"": 7, ""216"": 1, ""1856"": 4, ""996"": 2, ""1884"": 1, ""905"": 1, ""1427"": 3, ""1349"": 3, ""1287"": 1, ""906"": 1, ""2099"": 3, ""1608"": 1, ""1920"": 1, ""1261"": 1, ""26"": 1, ""1474"": 1, ""325"": 1, ""2470"": 1, ""624"": 1, ""789"": 1, ""1491"": 1}"
683	PERSON	persoon	"{""1202"": 1, ""1554"": 6, ""1215"": 1, ""1209"": 10, ""1357"": 1, ""2099"": 1, ""789"": 1, ""1285"": 1, ""1200"": 1, ""1216"": 1}"	"{""1202"": 1, ""1554"": 23, ""962"": 17, ""2099"": 5, ""1215"": 3, ""1209"": 10, ""1357"": 1, ""1285"": 3, ""1216"": 2, ""1217"": 2, ""216"": 1, ""1788"": 1, ""3304"": 1, ""789"": 3, ""194"": 2, ""505"": 1, ""2470"": 2, ""900"": 1, ""1198"": 1, ""1620"": 1, ""1200"": 1, ""1405"": 1, ""619"": 1, ""1263"": 1}"
2949	LAIR	den	"{""906"": 45, ""1493"": 1, ""1265"": 2, ""1803"": 1, ""784"": 1, ""1425"": 3, ""1400"": 1, ""1382"": 2}"	"{""906"": 57, ""1628"": 1, ""1493"": 1, ""1425"": 23, ""1471"": 3, ""1382"": 8, ""606"": 1, ""1265"": 2, ""784"": 4, ""1613"": 1, ""1400"": 4, ""1803"": 1, ""185"": 1, ""1320"": 1}"
1813	TASTY	smakelijk	"{""1336"": 48, ""1775"": 1, ""1427"": 1, ""1030"": 1}"	"{""1775"": 7, ""1336"": 79, ""1355"": 3, ""1401"": 3, ""1427"": 5, ""156"": 1, ""1100"": 4, ""1864"": 4, ""1368"": 1, ""1244"": 1, ""1887"": 1, ""1613"": 1, ""194"": 1, ""1030"": 1, ""3475"": 1}"
825	AWAKE	wakker	"{""1602"": 14, ""1757"": 1, ""1376"": 1, ""1339"": 4, ""1663"": 6, ""630"": 1, ""1233"": 1, ""1585"": 7, ""1299"": 1, ""672"": 3}"	"{""1757"": 5, ""1339"": 12, ""1585"": 22, ""1602"": 26, ""3128"": 1, ""1299"": 12, ""1663"": 20, ""1376"": 1, ""1726"": 1, ""672"": 7, ""1343"": 1, ""630"": 4, ""1225"": 3, ""1233"": 2, ""1908"": 3, ""3620"": 2, ""1920"": 1, ""1861"": 2, ""1336"": 1, ""619"": 1, ""584"": 1, ""701"": 1, ""1298"": 1, ""1373"": 1, ""1409"": 1, ""969"": 1}"
1519	RUN	hardlopen	"{""2458"": 4, ""905"": 2, ""1631"": 5, ""1757"": 5, ""1518"": 1}"	"{""2458"": 8, ""1631"": 9, ""3028"": 1, ""1297"": 1, ""905"": 5, ""1757"": 10, ""673"": 2, ""1400"": 1, ""1280"": 3, ""640"": 2, ""156"": 1, ""1210"": 2, ""1884"": 1, ""1443"": 1, ""418"": 1, ""1424"": 1, ""948"": 1, ""1518"": 1, ""163"": 1, ""900"": 1}"
2410	GOOD-LOOKING	fraai	"{""1427"": 81, ""2470"": 1, ""937"": 2}"	"{""1427"": 86, ""1035"": 7, ""2452"": 4, ""1252"": 2, ""2470"": 5, ""1580"": 1, ""1111"": 1, ""1349"": 1, ""704"": 1, ""962"": 1, ""2099"": 1, ""1826"": 1, ""2997"": 1, ""1560"": 1, ""1895"": 1, ""2530"": 1, ""937"": 2, ""963"": 1, ""1272"": 1, ""683"": 1, ""239"": 1, ""156"": 1, ""174"": 1, ""1207"": 1, ""771"": 1, ""1310"": 1}"
