CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	R1	R123
616	HOSPITAL	hospital	"{""1847"": 4, ""1663"": 10, ""597"": 6, ""1104"": 4, ""1986"": 2, ""4013"": 2, ""910"": 2, ""2947"": 2, ""1372"": 2, ""3375"": 2, ""1335"": 2, ""1111"": 1, ""3876"": 1, ""326"": 1, ""1364"": 1, ""1897"": 1, ""2406"": 1, ""2411"": 1, ""1030"": 1, ""987"": 1, ""3101"": 1}"	"{""1847"": 5, ""597"": 30, ""1104"": 21, ""1663"": 13, ""910"": 7, ""3375"": 7, ""1986"": 2, ""1364"": 5, ""4013"": 4, ""1372"": 4, ""326"": 3, ""2805"": 2, ""3396"": 2, ""1217"": 2, ""1897"": 2, ""2947"": 2, ""1559"": 2, ""1450"": 2, ""2124"": 2, ""1335"": 2, ""1292"": 1, ""1202"": 1, ""1111"": 1, ""2099"": 1, ""704"": 1, ""499"": 1, ""1810"": 1, ""3876"": 1, ""1494"": 1, ""227"": 1, ""1425"": 1, ""2406"": 1, ""1092"": 1, ""2411"": 1, ""3468"": 1, ""2553"": 1, ""1030"": 1, ""1229"": 1, ""3121"": 1, ""1783"": 1, ""1888"": 1, ""3854"": 1, ""1668"": 1, ""987"": 1, ""1090"": 1, ""3101"": 1, ""2571"": 1, ""1391"": 1, ""984"": 1}"
1540	EYELASH	eyelashes	"{""1248"": 7, ""1203"": 13, ""1655"": 1, ""2410"": 3, ""1560"": 2, ""1646"": 2, ""1898"": 2, ""1793"": 1, ""163"": 1, ""706"": 1, ""3069"": 1, ""2900"": 1, ""3977"": 1, ""763"": 1, ""1246"": 1, ""1856"": 1, ""1295"": 1, ""1651"": 1}"	"{""1203"": 31, ""1248"": 9, ""1655"": 1, ""163"": 10, ""1560"": 7, ""2410"": 1, ""1793"": 6, ""3069"": 5, ""706"": 4, ""1646"": 3, ""1040"": 3, ""1427"": 2, ""1173"": 1, ""1898"": 2, ""1856"": 2, ""1651"": 2, ""1244"": 2, ""962"": 1, ""837"": 1, ""2409"": 1, ""1271"": 1, ""17"": 1, ""1201"": 1, ""1551"": 1, ""2648"": 1, ""1972"": 1, ""1233"": 1, ""1221"": 1, ""2900"": 1, ""753"": 1, ""1449"": 1, ""3977"": 1, ""763"": 1, ""1246"": 1, ""1295"": 1, ""2308"": 1, ""738"": 1, ""892"": 1, ""1784"": 1}"
897	SWALLOW	swallow	"{""937"": 24, ""1440"": 7, ""1401"": 5, ""1346"": 5, ""2283"": 4, ""1336"": 3, ""1884"": 3, ""674"": 3, ""256"": 2, ""2562"": 2, ""1505"": 2, ""948"": 2, ""2277"": 2, ""3025"": 1, ""1791"": 1, ""604"": 1, ""139"": 1, ""1864"": 1, ""1030"": 1, ""539"": 1, ""1853"": 1, ""3064"": 1, ""1503"": 1, ""1847"": 1, ""1421"": 1, ""1342"": 1, ""97"": 1}"	"{""937"": 55, ""1346"": 16, ""1401"": 15, ""256"": 14, ""1440"": 12, ""1336"": 9, ""1503"": 8, ""674"": 6, ""2283"": 6, ""1205"": 5, ""1441"": 4, ""948"": 4, ""139"": 3, ""1884"": 3, ""2562"": 3, ""2277"": 3, ""3025"": 2, ""321"": 2, ""129"": 2, ""1853"": 1, ""1201"": 2, ""1505"": 2, ""1342"": 2, ""21"": 2, ""1403"": 1, ""163"": 1, ""1791"": 1, ""1273"": 1, ""326"": 1, ""1511"": 1, ""1299"": 1, ""584"": 1, ""1551"": 1, ""604"": 1, ""1864"": 1, ""169"": 1, ""478"": 1, ""58"": 1, ""1246"": 1, ""1372"": 1, ""1030"": 1, ""1333"": 1, ""3975"": 1, ""539"": 1, ""1269"": 1, ""3915"": 1, ""156"": 1, ""707"": 1, ""3064"": 1, ""1474"": 1, ""1847"": 1, ""1421"": 1, ""1101"": 1, ""1220"": 1, ""2060"": 1, ""848"": 1, ""97"": 1, ""2466"": 1, ""1726"": 1}"
3727	CELERY	celery	"{""1425"": 22, ""924"": 20, ""2628"": 8, ""1295"": 4, ""1274"": 3, ""1547"": 3, ""3085"": 2, ""1364"": 2, ""832"": 1, ""1100"": 1, ""1336"": 1, ""3729"": 1, ""630"": 1, ""1122"": 1, ""714"": 1, ""1753"": 1, ""1335"": 1}"	"{""1425"": 54, ""924"": 37, ""2628"": 14, ""1364"": 2, ""3085"": 7, ""1547"": 1, ""1295"": 6, ""948"": 6, ""1274"": 5, ""243"": 4, ""3545"": 3, ""887"": 2, ""1100"": 2, ""1336"": 2, ""3729"": 2, ""2366"": 2, ""714"": 2, ""832"": 1, ""905"": 1, ""934"": 1, ""1569"": 1, ""321"": 1, ""155"": 1, ""1813"": 1, ""1833"": 1, ""2507"": 1, ""256"": 1, ""1507"": 1, ""1771"": 1, ""628"": 1, ""630"": 1, ""1203"": 1, ""633"": 1, ""1385"": 1, ""1122"": 1, ""2124"": 1, ""362"": 1, ""711"": 1, ""1753"": 1, ""2629"": 1, ""1335"": 1}"
1773	GRAVE	grave	"{""910"": 21, ""1625"": 8, ""857"": 7, ""3284"": 1, ""1719"": 3, ""153"": 2, ""1667"": 2, ""699"": 2, ""1773"": 2, ""736"": 2, ""3336"": 1, ""2011"": 1, ""767"": 1, ""1810"": 1, ""1494"": 1, ""742"": 1, ""749"": 1, ""1293"": 1, ""1210"": 1, ""1121"": 1, ""419"": 1, ""48"": 1, ""69"": 1}"	"{""910"": 33, ""1625"": 16, ""3284"": 4, ""857"": 12, ""3336"": 4, ""1773"": 9, ""699"": 7, ""1719"": 5, ""1667"": 5, ""736"": 5, ""1292"": 4, ""1810"": 4, ""153"": 1, ""2159"": 3, ""1480"": 2, ""2011"": 2, ""767"": 2, ""1418"": 2, ""25"": 2, ""742"": 2, ""1175"": 2, ""1496"": 2, ""1285"": 2, ""419"": 2, ""1228"": 1, ""1510"": 1, ""1489"": 1, ""2998"": 1, ""3466"": 1, ""1494"": 1, ""749"": 1, ""1293"": 1, ""239"": 1, ""606"": 1, ""1277"": 1, ""1884"": 1, ""1256"": 1, ""1364"": 1, ""1210"": 1, ""1847"": 1, ""3299"": 1, ""3667"": 1, ""2150"": 1, ""637"": 1, ""1955"": 1, ""406"": 1, ""809"": 1, ""1338"": 1, ""658"": 1, ""3376"": 1, ""668"": 1, ""3854"": 1, ""1121"": 1, ""193"": 1, ""48"": 1, ""69"": 1, ""1668"": 1, ""732"": 1}"
592	PISS	pee	"{""1142"": 18, ""592"": 2, ""219"": 11, ""1424"": 6, ""1425"": 2, ""1222"": 2, ""1366"": 1, ""1583"": 1, ""2009"": 1, ""2917"": 1, ""906"": 1, ""948"": 1}"	"{""1142"": 31, ""1424"": 23, ""219"": 22, ""592"": 2, ""1222"": 6, ""948"": 5, ""2009"": 3, ""1425"": 3, ""2025"": 3, ""1612"": 2, ""2888"": 2, ""1726"": 2, ""2892"": 1, ""1289"": 1, ""1780"": 1, ""946"": 1, ""1366"": 1, ""1583"": 1, ""1683"": 1, ""476"": 1, ""676"": 1, ""675"": 1, ""2316"": 1, ""1976"": 1, ""1646"": 1, ""1566"": 1, ""1355"": 1, ""58"": 1, ""3120"": 1, ""2339"": 1, ""2917"": 1, ""191"": 1, ""809"": 1, ""281"": 1, ""1687"": 1, ""74"": 1, ""1095"": 1, ""1395"": 1, ""1274"": 1, ""1409"": 1, ""1585"": 1, ""2124"": 1, ""42"": 1, ""365"": 1, ""947"": 1, ""1373"": 1, ""892"": 1, ""906"": 1, ""1443"": 1, ""943"": 1, ""1340"": 1, ""420"": 1}"
984	WORK (LABOUR)	work	"{""1413"": 22, ""1884"": 8, ""1929"": 5, ""615"": 3, ""1559"": 3, ""2931"": 1, ""1225"": 1, ""481"": 1, ""733"": 1, ""2406"": 1, ""1477"": 1, ""1030"": 1, ""1356"": 1, ""2430"": 1, ""1107"": 1, ""1783"": 1, ""723"": 1, ""746"": 1, ""812"": 1, ""892"": 1, ""1757"": 1, ""1469"": 1}"	"{""1884"": 29, ""1413"": 27, ""1559"": 8, ""2430"": 7, ""1929"": 7, ""615"": 4, ""2931"": 3, ""1225"": 3, ""718"": 3, ""673"": 3, ""812"": 3, ""892"": 3, ""963"": 2, ""3471"": 1, ""2406"": 2, ""971"": 2, ""1122"": 2, ""709"": 2, ""1757"": 2, ""1469"": 2, ""1086"": 1, ""1461"": 1, ""1775"": 1, ""584"": 1, ""1418"": 1, ""481"": 1, ""2978"": 1, ""379"": 1, ""733"": 1, ""1481"": 1, ""1607"": 1, ""1285"": 1, ""2981"": 1, ""1477"": 1, ""477"": 1, ""1564"": 1, ""210"": 1, ""1203"": 1, ""3667"": 1, ""1554"": 1, ""1030"": 1, ""1356"": 1, ""1128"": 1, ""1107"": 1, ""1783"": 1, ""723"": 1, ""1657"": 1, ""168"": 1, ""1019"": 1, ""746"": 1, ""851"": 1, ""1112"": 1, ""3974"": 1, ""1599"": 1}"
1381	SHOE	shoes	"{""1301"": 22, ""1522"": 15, ""585"": 7, ""156"": 4, ""629"": 3, ""4034"": 3, ""2410"": 2, ""976"": 2, ""984"": 2, ""2409"": 1, ""1429"": 1, ""760"": 1, ""600"": 1, ""745"": 1, ""3977"": 1, ""746"": 1, ""1342"": 1, ""1488"": 1, ""318"": 1, ""1199"": 1, ""962"": 1}"	"{""1301"": 2, ""1522"": 2, ""585"": 14, ""4034"": 12, ""629"": 9, ""156"": 6, ""1443"": 5, ""2410"": 4, ""2666"": 3, ""976"": 3, ""984"": 3, ""1426"": 2, ""615"": 2, ""2090"": 2, ""1231"": 2, ""1888"": 2, ""746"": 2, ""1917"": 2, ""962"": 1, ""1017"": 1, ""2980"": 1, ""2468"": 1, ""832"": 1, ""163"": 1, ""837"": 1, ""2409"": 1, ""1869"": 1, ""3357"": 1, ""1895"": 1, ""1613"": 1, ""2997"": 1, ""474"": 1, ""2316"": 1, ""1429"": 1, ""695"": 1, ""2411"": 1, ""760"": 1, ""2471"": 1, ""1202"": 1, ""1117"": 1, ""600"": 1, ""673"": 1, ""745"": 1, ""3977"": 1, ""752"": 1, ""362"": 1, ""1342"": 1, ""717"": 1, ""1488"": 1, ""318"": 1, ""3665"": 1, ""575"": 1, ""1784"": 1, ""1232"": 1, ""1726"": 1, ""1199"": 1, ""1424"": 1}"
891	TIDE	tide	"{""645"": 19, ""948"": 12, ""1474"": 11, ""978"": 5, ""1313"": 6, ""3460"": 4, ""1265"": 4, ""827"": 3, ""2988"": 1, ""658"": 1, ""367"": 1, ""113"": 1, ""891"": 1, ""892"": 1, ""1588"": 1, ""3174"": 1, ""1243"": 1}"	"{""645"": 40, ""948"": 30, ""1313"": 23, ""978"": 15, ""1474"": 16, ""3460"": 12, ""1265"": 10, ""721"": 5, ""2003"": 4, ""156"": 3, ""827"": 3, ""1453"": 3, ""1264"": 2, ""3469"": 2, ""892"": 2, ""1588"": 2, ""258"": 1, ""2483"": 1, ""2935"": 1, ""1810"": 1, ""3427"": 1, ""1425"": 1, ""1448"": 1, ""1460"": 1, ""350"": 1, ""1267"": 1, ""2627"": 1, ""2988"": 1, ""961"": 1, ""1413"": 1, ""658"": 1, ""367"": 1, ""1091"": 1, ""671"": 1, ""113"": 1, ""947"": 1, ""3132"": 1, ""891"": 1, ""1757"": 1, ""3174"": 1, ""1243"": 1}"
481	DISH	dish	"{""480"": 27, ""256"": 10, ""227"": 6, ""1453"": 5, ""1833"": 4, ""1378"": 4, ""1526"": 3, ""3648"": 3, ""3640"": 2, ""1335"": 2, ""837"": 1, ""1530"": 1, ""680"": 1, ""588"": 1, ""1245"": 1, ""1593"": 1, ""1302"": 1, ""1447"": 1, ""1286"": 1, ""1107"": 1, ""1127"": 1, ""160"": 1, ""2708"": 1, ""1788"": 1, ""948"": 1}"	"{""480"": 48, ""256"": 26, ""1530"": 13, ""227"": 13, ""1378"": 12, ""3640"": 11, ""1453"": 7, ""1833"": 6, ""3648"": 5, ""1335"": 5, ""1336"": 4, ""1302"": 4, ""1526"": 4, ""704"": 3, ""476"": 3, ""2708"": 3, ""1788"": 1, ""1245"": 2, ""1616"": 2, ""1593"": 2, ""1813"": 2, ""1447"": 2, ""1286"": 2, ""271"": 2, ""1775"": 2, ""837"": 1, ""680"": 1, ""588"": 1, ""1100"": 1, ""1007"": 1, ""1230"": 1, ""481"": 1, ""2009"": 1, ""634"": 1, ""2244"": 1, ""1107"": 1, ""31"": 1, ""1395"": 1, ""1519"": 1, ""1127"": 1, ""160"": 1, ""682"": 1, ""1088"": 1, ""788"": 1, ""1547"": 1, ""1456"": 1, ""1021"": 1, ""2629"": 1, ""948"": 1}"
